gene,logFC,pvalue
ZNRF4,-1.4225532465620807,0.0003208604764758
GHSR,-0.9418845106588134,0.0003225398375448
UBXN4,-1.1613536210260218,0.0003260330859648
NKG7,3.4245688385598623,0.0003285261262379
UBAC1,0.5768751294243142,0.0003288778890204
IGLC1,3.575313922755857,0.0003297413698447
CASP1,0.7680609374651066,0.0003310805582943
CD19,2.049056474236563,0.0003353567970667
FBXW12,-1.4240224912608923,0.0003360197059137
ACBD3,-0.8781197938345064,0.0003374081465342
DLST,-0.511121139479048,0.0003378470012512
FAH,-0.9768598607502827,0.0003388626977227
COPA,-1.2910089003982597,0.000340272811481
TNS3,0.7019171686909864,0.0003457314158157
IL23A,1.9401585441747864,0.000346719845562
HPGDS,-1.2310823695386564,0.0003475659854625
DNMT1,0.5692129191981685,0.0003481091200289
CADM3,1.7917858518754874,0.0003531640421544
KITLG,-2.09762694552485,0.0003534823015927
MAPK14,-1.5992827339813465,0.0003567465324487
TSR1,-0.8310083717552192,0.0003570766242089
MRPL18,0.3227223482830119,0.0003610706191038
WNT5A,1.4592811657674505,0.000364040962408
TNFAIP8,1.151481629344303,0.000369146025782
PTPN7,1.7889836768202017,0.0003693967530822
NR3C1,0.6948140262662257,0.0003699901969923
PLEC,-2.2697616987155937,0.0003716921007836
SPA17,0.6030717274588842,0.0003720289345364
MYO9B,-0.9578910841082156,0.0003735594080597
EXOC2,0.7383542188480625,0.0003776880359103
GZMH,2.310916756767945,0.0003800249694596
TOB2,-0.6669443547941185,0.0003809342916498
TOM1L2,-1.5695928781749489,0.0003852913101313
AIM2,2.529362107636308,0.0003869244893994
BTG2,-1.7423648610013611,0.0003874106790714
SH3PXD2A,-0.8818549372011617,0.0003934158336737
LCK,2.7049731225087044,0.0003952457591288
DNAJB6,0.4353357495742802,0.0003965698660714
ITGA7,-1.2855496948078748,0.0004004245683695
SFT2D2,0.691539231598191,0.0004015896756825
BHLHE41,1.3657006272388514,0.0004016387028654
SIT1,2.0187789042037902,0.0004043510203778
DRAM1,0.9044652731145852,0.0004062031510694
HDAC7,-1.1142202328361144,0.0004064806516384
STK10,0.6652008582113318,0.0004102892657118
SKAP1,0.9123694341470784,0.0004106441108587
MAD2L1,1.1470785457803778,0.0004154053105846
GBP1,1.4606636146857213,0.0004206860103396
RASGRP1,1.8996414323653497,0.0004219500294164
TKT,-0.8426840263968138,0.0004241881218759
DCP2,0.7076822671926806,0.000426464333528
BPTF,-0.7848762530014586,0.0004320953306035
MCFD2,-0.7140758312086106,0.0004374111801743
SMAD3,-1.027809594535119,0.0004427727393851
IGF1R,-1.5834921774291226,0.0004432053962192
PROS1,-0.5502006408224531,0.0004437557850344
SERINC2,1.351679979107229,0.0004488216352257
TRA2B,-1.4862157371571607,0.0004496941313991
SLC1A4,-1.1260172122790415,0.0004508727692161
RALBP1,0.6736877832464891,0.0004524725519689
SEPT6,1.4304586414806035,0.0004558457063862
CRLF3,0.4936782463885389,0.0004560380659463
ATP2A2,-1.4593253385718477,0.0004571868478126
FAM69A,0.6773810680068895,0.0004573294363296
CCNA2,2.1751118281004898,0.0004673815171148
TOX4,-0.8478273105793122,0.0004676744277926
MYBL1,1.7025909403693396,0.0004775569748908
CD2,1.7907331573886278,0.0004794648685614
ENTPD1,0.927489945261856,0.0004797513876976
GTF3C2,-0.8387666726698901,0.0004952077271756
LARS,-0.6703493074557016,0.0004957703718811
ASXL1,-0.4326055790556307,0.0004960731673436
BCL2L1,-1.0748208721612371,0.0005015970793151
RTN4,-0.3273871911608452,0.0005036709719876
UBE2G2,-0.9042782747463844,0.0005039261403185
HAUS3,0.6811763055326834,0.0005128318757415
MZB1,3.7792183467424287,0.0005151277953963
