gene,logFC,pvalue
LSM14A,-0.612678434482568,6.14516263194899e-05
CXCL11,3.450208693793931,6.168625789449621e-05
ABPARTS,4.907170681852951,6.335241661143571e-05
IGKC,4.169219368312532,6.336813844793226e-05
POLR2E,-0.7844092641292448,6.348099415288146e-05
CCDC88C,2.4163428382677146,6.402417153674559e-05
IKBKB,-2.30771867226117,6.498976348757217e-05
LUC7L3,-1.1022750501153276,6.613317098081589e-05
TRIM22,0.8206505807192901,6.645737499101235e-05
ADAM28,4.03475336788801,6.871145036904575e-05
POLB,0.705161219546218,6.985986615373502e-05
PTTG1,0.9692804927166474,7.103389201549093e-05
TRRAP,0.8515275355892893,7.289478088643133e-05
FAS,1.3356952826138464,7.604602566118253e-05
AKT2,-2.2283324551957024,7.673956513450823e-05
XCL1,2.9839020125298887,7.680023031801638e-05
CYFIP2,1.5667464060830216,7.684370663693364e-05
TNFRSF14,0.7863702421354812,7.703803377933876e-05
SPAST,0.7633017434999863,7.795630148710215e-05
RPL18,-0.6034821905781032,7.871508481969902e-05
PCDHGC3,-1.9217471900906853,8.072797776260485e-05
ICAM2,0.7716740679109062,8.141650373807252e-05
IL2RG,1.9223162957192876,8.187676263128392e-05
P2RX6,-1.693315483296984,8.393400630215159e-05
MALT1,1.0377210740523646,8.435092219149578e-05
PRKACB,0.9947230459008267,8.513101255531038e-05
LTBP4,-3.015820590045756,8.68787151765244e-05
PANK2,0.5727125421588415,8.845751468801395e-05
MIR7109,-0.8125301796570552,8.934601217471132e-05
UBE2L6,0.8725938479163915,8.977302720339788e-05
B4GALT2,-0.5010404662321548,9.131340319119581e-05
HSF1,-0.710520371187501,9.256109751012004e-05
IGLL3P,2.9866518312442967,9.303721850032627e-05
STX16,-1.7046471382924118,9.457786445693578e-05
KLK2,-1.651710144023725,9.614456281008534e-05
CD79A,2.590209532880465,9.70237967682491e-05
PPP3CA,-0.748183473399429,9.807922702771041e-05
CYAT1,3.7775156999688555,9.812417000284506e-05
GLOD4,0.43943891591135475,0.00010107396767923444
GIMAP4,1.319582300998917,0.00010308667555577679
LRRC42,0.5106749347173407,0.00010734953105254823
SAT1,-0.7501269485564919,0.00010834642455968082
RAB3GAP1,-0.6710430392216047,0.00010844867045201185
TRIM21,0.6683962217198118,0.0001099144647106389
TNFRSF17,4.67821271371186,0.00011008704619359397
IGLL5,3.142280008049111,0.00011159283897835921
TUBGCP2,-1.179180575406522,0.00011186945052376861
SLAMF8,2.5751259420128445,0.00011188557073406261
FBXW11,-0.8231689247478595,0.00011286396278649974
ADRBK1,-1.3721934074360451,0.00011286846906837528
